uuid,company,role,level,yearsOfExperience,location,baseSalary,bonus,stockGrant,totalCompensation,workArrangement,isAnomaly,anomalyType,if_prediction,anomaly_score,fraud_probability,predicted_anomaly
e67ce10d-babf-4c1d-8f6b-71ff912e0fbc,Meta,Product Manager,Junior,2,"San Francisco, CA",140000,13000,13000,166000,On-site,False,none,1,-0.413978,0.0382,False
03c00f7a-92f1-4a79-855b-b14434c385bd,Amazon,Product Manager,Junior,3,"New York, NY",127000,8000,10000,145000,On-site,False,none,1,-0.42311,0.0641,False
9fe3b172-96c7-4359-9132-e850521b162c,Netflix,Product Manager,Mid,4,"Boston, MA",175000,15000,19000,209000,Remote,False,none,1,-0.423466,0.0652,False
af83ade0-7fd0-4357-877a-cf5a498769a2,Microsoft,DevOps Engineer,Junior,3,Remote,101000,5000,13000,119000,Remote,False,none,1,-0.416444,0.0452,False
b86d424d-063d-49c4-8fa8-a30518406984,Netflix,DevOps Engineer,Senior,11,"Toronto, Canada",157000,27000,66000,250000,Hybrid,False,none,1,-0.463598,0.1791,False
c06ccab9-d69d-49bd-9471-b4773b244783,ServiceNow,Product Manager,Principal,23,"Bangalore, India",139000,33000,99000,271000,Remote,False,none,1,-0.500414,0.2836,False
0fb93768-b3c3-4a93-9751-c8fc1d66e2ae,ServiceNow,Software Engineer,Staff,12,"Bangalore, India",101000,17000,54000,172000,Hybrid,False,none,1,-0.486081,0.2429,False
78f24a51-4716-4c21-abfe-f01d39c33d6e,Netflix,DevOps Engineer,Senior,6,"San Francisco, CA",214000,30000,69000,313000,Remote,False,none,1,-0.436883,0.1033,False
e3e0f322-e2ea-4915-bb08-1022bdee0375,ServiceNow,DevOps Engineer,Intern,1,"London, UK",53000,1000,1000,55000,Hybrid,False,none,1,-0.434806,0.0974,False
a6780f2a-5b4c-4277-bffc-abfa1e2967fd,Uber,Engineering Manager,Intern,0,"Chicago, IL",67000,3000,1000,71000,Hybrid,False,none,1,-0.450282,0.1413,False
